author,nb_commentaires,total_likes,nb_reponses,score_influence
@ethanwatkins6780,2,4,0,10
@gdaym92izik,6,2,0,10
@greenietales,1,3,1,10
@yeslem3792,1,3,1,10
@morokko5stars68,2,1,2,10
@hichamidrisi1344,4,0,2,10
@mgigelli820,2,1,2,10
@noone-io4yj,2,1,2,10
@HelloCurve111,4,0,2,10
@SilenceaboutthetruthisamuteDev,2,4,0,10
@mason.edwards96,2,1,2,10
@Az-Ben,4,0,2,10
@universpro7741,2,4,0,10
@4y7v10,1,3,1,10
@markmurphy7698,2,4,0,10
@houssinhoussin8626,2,4,0,10
@wahabmaek4272,2,4,0,10
@lamiyaeddahabi7242,1,4,0,9
@SamSung-sy6ox,2,2,1,9
@farid-zf6wn,1,4,0,9
@vincechase897,3,3,0,9
@borapobangpo,2,2,1,9
@saadahmadpersonal,1,4,0,9
@tanakatako6547,2,2,1,9
@tifawine9113,5,2,0,9
@mayar_819,2,2,1,9
@abdelatlas1578,4,1,1,9
@pimohebenezer,1,4,0,9
@TheGloriousLobsterEmperor,2,2,1,9
@Selinadobrev,3,3,0,9
@hamzadroit5916,1,4,0,9
@hamudi_12,3,3,0,9
@Flamingbit,1,4,0,9
@Shaw737,2,0,2,8
@geoms6263,2,0,2,8
@ahmedCHAKROUN-j5l,2,0,2,8
@ZiggyStardust669,2,0,2,8
@abdelhakwinston6200,2,0,2,8
@abdel9285,1,2,1,8
@Sohaib92,2,0,2,8
@Someone_555,2,0,2,8
@_saif-Eddine.,2,3,0,8
@politicstoday8002,2,0,2,8
@Souffledamour,2,0,2,8
@FaicalBoumdira,2,0,2,8
@ha1fadev,2,0,2,8
@shahd5755,1,2,1,8
@mohfar8605,2,0,2,8
@shush1501,2,0,2,8
@mohammedbenmassoud-u3r,4,2,0,8
@modmaker7617,2,0,2,8
@Flattithefish,2,0,2,8
@KeijiNomore,2,0,2,8
@dutchpatriot17,2,0,2,8
@euwwi1278,2,0,2,8
@kyronhadel,2,0,2,8
@logiqueh7354,2,0,2,8
@ALGHOTTE,2,0,2,8
@Abdelll-m8s,2,0,2,8
@TheEyeLoveYouVirus,4,2,0,8
@Brraww278,2,0,2,8
@mightyman1855,8,0,0,8
@dsa_made_easy,2,0,2,8
@ravvviiioliii,2,0,2,8
@GM-xk1nw,2,0,2,8
@picantokia9286,2,0,2,8
@MGharriy,2,0,2,8
@rimiarabi6071,2,0,2,8
@Mr7Crash,2,0,2,8
@mybikinishop6684,2,0,2,8
@muhammadsuleman9328,1,2,1,8
@alphachief6085,2,0,2,8
@bilalhicham-1,1,2,1,8
@MA-nz1gk,2,0,2,8
@HmamouAbdellah,2,0,2,8
@LeilaMontes55,2,0,2,8
@anaschiheb1015,2,0,2,8
@al-batal,2,0,2,8
@mohalkl5426,2,0,2,8
@Z5-XB,2,0,2,8
@casanegra2934,2,0,2,8
@IsmailEldarabi,2,0,2,8
@M777fd,2,0,2,8
@Maurazio,1,2,1,8
@Unordinary-lg4yt,2,0,2,8
@Muralidharan001,2,0,2,8
@Akinox_king,2,0,2,8
@Voice-of-honor-u8f,2,0,2,8
@xubha7246,2,0,2,8
@Communistphilippines,2,0,2,8
@Doherty33,2,0,2,8
@zlabiasanssucre-kb4ty,2,0,2,8
@zevorix,2,0,2,8
@jamemule5326,2,0,2,8
@Basketballl00472,2,0,2,8
@youneskhouloud2504,2,0,2,8
@walidcheikh9053,4,2,0,8
@14NINASKY,4,2,0,8
